id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
1829419182804320518,2024-08-30 09:21:36 +02:00,"@79snce La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827378095105487097,null,null,[],0,0,0,0,0,7,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829419182804320518
1829420484288467022,2024-08-30 09:26:47 +02:00,"@_Zepioz La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827394377544560676,null,null,[],0,0,0,0,0,11,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829420484288467022
1829422644850049212,2024-08-30 09:35:22 +02:00,"@HugoStg10 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827401040519365087,null,null,[],0,0,0,0,0,101,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829422644850049212
1829423209457778800,2024-08-30 09:37:36 +02:00,"@iscoshow La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827402222717825236,null,null,[],0,0,0,0,0,38,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829423209457778800
1829423626094788691,2024-08-30 09:39:16 +02:00,"@TflgPete La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827417485345181850,null,null,[],0,0,0,0,0,17,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829423626094788691
1829424510304444779,2024-08-30 09:42:46 +02:00,"@TflgPete La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827459008321745294,null,null,[],0,0,0,0,0,10,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829424510304444779
1829425136996348400,2024-08-30 09:45:16 +02:00,"@KhaledNooraully La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827475330338074775,null,null,[],0,0,0,0,0,12,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829425136996348400
1829426721591841007,2024-08-30 09:51:34 +02:00,"@Fabdesrosiers La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827616422857425097,null,null,[],0,0,0,0,0,14,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829426721591841007
1829427127717961905,2024-08-30 09:53:11 +02:00,"@inspecteurcrou1 La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827620132274741700,null,null,[],0,0,0,0,0,23,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829427127717961905
1829427371541135498,2024-08-30 09:54:09 +02:00,"@Antoine_Oxi La messagerie privée X n’est plus disponible, et nous en sommes désolés.\nEn cas de besoin, je suis disponible sur Messenger \n▶️ https://t.co/foZUyQkGH3 ou via https://t.co/3Rzd3llaL8\n\nMerci\n\nZelda – Free",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,1827625368016027805,null,null,[],0,0,0,0,0,113,FALSE,FALSE,FALSE,https://twitter.com/Freebox/status/1829427371541135498
